participant_id	bisbas_1	bisbas_2	bisbas_3	bisbas_4	bisbas_5	bisbas_6	bisbas_7	bisbas_8	bisbas_9	bisbas_10	bisbas_11	bisbas_12	bisbas_13	bisbas_14	bisbas_15	bisbas_16	bisbas_17	bisbas_18	bisbas_19	bisbas_20	bisbas_21	bisbas_22	bisbas_23	bisbas_24	bis_score_total	bas_score_driveTotal	bas_score_funTotal	bas_score_rewardTotal
sub-92211	2	3	3	2	1	3	2	2	2	2	3	2	3	2	3	3	1	2	1	2	3	3	1	1	21.0	10.0	12.0	16.0
sub-92554	1	3	1	1	1	1	1	2	1	1	3	1	2	1	3	2	2	1	1	1	3	2	1	2	21.0	14.0	14.0	20.0
sub-92927	2	3	2	1	1	1	1	2	2	2	2	2	3	2	3	3	2	1	1	2	2	1	1	2	18.0	12.0	12.0	19.0
sub-93051	2	4	2	2	2	2	2	2	2	2	2	2	1	2	3	2	3	2	2	2	3	4	1	2	24.0	11.0	11.0	16.0
sub-93169	2	4	2	1	1	1	1	2	2	1	2	1	3	1	3	2	2	1	1	2	3	3	1	2	22.0	12.0	13.0	20.0
sub-93274	1	4	2	1	1	1	1	2	2	1	4	1	3	1	1	2	1	2	2	1	1	3	1	2	21.0	14.0	16.0	19.0
sub-93278	2	3	2	2	1	1	1	2	3	2	3	3	3	3	3	2	1	2	2	2	4	2	2	2	19.0	8.0	12.0	15.0
sub-93292	1	2	3	1	2	1	1	2	2	2	2	2	3	1	2	2	1	1	1	2	3	2	1	1	20.0	10.0	12.0	20.0
sub-93406	1	4	1	1	1	1	1	2	1	1	4	1	2	1	2	2	2	1	1	2	1	3	1	1	24.0	16.0	14.0	20.0
sub-93517	1	3	1	1	1	3	1	4	1	1	1	1	4	1	1	1	1	4	1	1	1	2	1	1	19.0	16.0	16.0	17.0
sub-93549	1	2	3	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	1	1	23.0	12.0	14.0	20.0
sub-93723	1	2	1	1	1	2	2	3	1	2	4	1	4	2	3	4	2	2	2	2	2	1	1	3	12.0	15.0	12.0	17.0
sub-93734	1	4	3	1	1	1	1	1	2	1	3	3	1	2	3	3	1	2	1	3	4	3	1	1	25.0	8.0	12.0	18.0
sub-93787	1	3	2	2	2	2	2	2	3	2	3	3	2	3	3	3	2	2	2	2	4	2	2	2	19.0	8.0	11.0	14.0
sub-93856	1	4	2	1	2	1	1	2	2	2	2	3	4	2	3	1	3	2	1	2	4	2	1	1	22.0	9.0	11.0	18.0
sub-94276	1	2	2	2	2	2	2	4	2	2	3	2	4	4	4	4	1	2	4	4	3	3	3	4	10.0	11.0	8.0	12.0
sub-94492	2	3	2	1	1	3	2	2	2	2	3	2	3	2	2	2	2	2	1	2	2	2	1	2	20.0	12.0	13.0	17.0
sub-94848	1	1	2	1	1	3	1	1	2	3	4	3	1	2	2	3	1	1	2	2	2	1	3	1	19.0	11.0	12.0	17.0
sub-95015	1	3	2	1	1	2	2	4	3	2	4	2	4	3	2	3	4	1	2	2	3	2	2	4	13.0	10.0	13.0	16.0
sub-95057	2	4	2	1	1	2	1	1	2	1	2	1	1	1	2	2	1	1	2	1	2	3	1	2	24.0	13.0	15.0	20.0
sub-95116	2	3	2	1	1	1	1	2	2	2	4	3	3	3	4	3	2	2	2	2	3	3	2	2	19.0	10.0	11.0	16.0
sub-95257	1	1	1	1	1	1	1	4	2	2	3	1	3	1	1	4	1	1	2	1	1	1	1	2	12.0	15.0	15.0	20.0
sub-95460	1	2	2	1	1	3	2	3	3	2	3	2	4	3	2	2	4	2	4	2	3	3	2	3	14.0	10.0	13.0	15.0
sub-96659	2	2	2	1	1	2	1	2	2	3	2	2	2	2	2	2	3	2	1	3	2	2	1	2	20.0	12.0	11.0	18.0
sub-97092	2	2	3	2	3	4	2	3	2	4	4	3	2	2	1	3	3	2	2	1	3	1	2	3	15.0	9.0	11.0	15.0
sub-97271	1	4	2	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	2	1	26.0	14.0	14.0	19.0
sub-97485	1	2	1	1	2	1	1	3	2	2	2	2	2	2	2	3	2	1	2	1	2	1	1	1	17.0	13.0	13.0	19.0
sub-97994	1	3	1	1	1	2	1	3	2	2	3	2	3	2	2	3	3	1	3	1	3	2	1	3	15.0	12.0	14.0	19.0
sub-98314	3	2	2	1	3	1	2	4	4	4	4	2	1	1	4	1	1	2	1	2	4	4	3	1	23.0	8.0	7.0	16.0
sub-98394	1	4	1	1	3	1	1	3	2	2	2	2	2	1	1	2	1	1	1	3	2	4	1	1	24.0	13.0	11.0	20.0
sub-98422	2	1	2	2	1	1	2	3	2	2	3	2	2	2	3	2	4	3	2	2	3	1	2	2	16.0	11.0	12.0	14.0
sub-98535	1	2	1	1	1	1	2	4	1	2	4	1	4	1	1	4	1	2	2	2	2	1	1	2	12.0	15.0	14.0	18.0
sub-98567	2	2	3	1	1	2	1	2	2	3	2	2	3	1	2	2	2	1	2	3	3	1	1	1	18.0	10.0	11.0	20.0
sub-98831	1	1	1	1	1	2	1	3	1	1	3	1	3	2	1	3	2	2	2	1	2	2	1	2	15.0	15.0	16.0	18.0
sub-98871	2	3	1	1	1	2	1	2	2	2	3	3	2	1	2	3	2	2	1	3	4	2	1	2	20.0	10.0	12.0	19.0
sub-99352	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	2	1	3	1	1	1	19.0	14.0	16.0	20.0
sub-99604	4	3	2	2	2	1	4	1	3	2	1	3	1	3	2	2	1	3	1	2	3	3	2	1	25.0	9.0	12.0	11.0
sub-99949	1	3	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	3	1	1	25.0	13.0	14.0	20.0
sub-99964	1	2	1	1	1	1	1	2	4	1	4	1	1	1	4	2	1	4	2	4	1	1	1	4	17.0	13.0	10.0	17.0
